ID,Material,Name,Density,Embodied Carbon
213,Concrete,Concrete GEN1 with 35% natural pozzolanic ash cement,2370.0,179.3392074020004
214,Concrete,Concrete GEN 2 with 35% natural pozzolanic ash cement,2370.0,192.95047430893203
215,Concrete,Concrete GEN 3 with 35% natural pozzolanic ash cement,2370.0,206.58330179893198
216,Concrete,Concrete RC20/25 with 35% natural pozzolanic ash cement,2380.0,223.94747015192252
217,Concrete,Concrete RC25/30 with 35% natural pozzolanic ash cement,2380.0,237.5950858236467
218,Concrete,Concrete RC28/35 with 35% natural pozzolanic ash cement,2380.0,252.0014638384
219,Concrete,Concrete RC32/40 with 35% natural pozzolanic ash cement,2380.0,278.61319471229996
220,Concrete,Concrete RC35/45 with 35% natural pozzolanic ash cement,2380.0,295.38470148719364
221,Concrete,Concrete RC40/50 with 35% natural pozzolanic ash cement,2380.0,315.6692737690086
222,Concrete,Concrete PAV1 with 35% natural pozzolanic ash cement,2380.0,251.2518293730557
223,Concrete,Concrete PAV2 with 35% natural pozzolanic ash cement,2380.0,279.21583952342826
224,Concrete,Concrete GEN0 with average UK additions cement,2365.0,154.70376858352498
225,Concrete,Concrete GEN1 with average UK additions cement,2365.0,212.54274319117866
226,Concrete,Concrete GEN 2 with average UK additions cement,2360.0,229.15557295091995
227,Concrete,Concrete GEN 3 with average UK additions cement,2360.0,245.87227142701997
228,Concrete,Concrete RC20/25 with average UK additions cement,2385.0,267.17440387396493
229,Concrete,Concrete RC25/30 with average UK additions cement,2385.0,283.85622707292544
230,Concrete,Concrete RC28/35 with average UK additions cement,2385.0,300.56088659448835
231,Concrete,Concrete RC32/40 with average UK additions cement,2385.0,329.71277709425453
232,Concrete,Concrete RC35/45 with average UK additions cement,2385.0,354.6488543110589
233,Concrete,Concrete RC40/50 with average UK additions cement,2385.0,379.512787982664
234,Concrete,Concrete PAV1 with average UK additions cement,2385.0,300.5542574095774
235,Concrete,Concrete PAV2 with average UK additions cement,2385.0,329.72250431383196
236,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 100 kg per m3 of concrete,2380.0,123.86138079153335
237,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 120 kg per m3 of concrete,2380.0,142.29660458512
238,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 140 kg per m3 of concrete,2380.0,160.7318283787067
239,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 160 kg per m3 of concrete,2380.0,179.16705217229338
240,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 180 kg per m3 of concrete,2380.0,197.60227596587998
241,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 200 kg per m3 of concrete,2380.0,216.0374997594667
242,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 220 kg per m3 of concrete,2380.0,234.47272355305338
243,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 240 kg per m3 of concrete,2380.0,252.90794734664
244,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 260 kg per m3 of concrete,2380.0,271.5022715780866
245,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 280 kg per m3 of concrete,2380.0,290.1210727999733
246,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 300 kg per m3 of concrete,2380.0,308.7643510123
247,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 320 kg per m3 of concrete,2380.0,327.4321062150667
248,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 340 kg per m3 of concrete,2380.0,346.1243384082733
249,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 360 kg per m3 of concrete,2380.0,364.62075467795995
250,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 380 kg per m3 of concrete,2380.0,383.11717094764674
251,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 400 kg per m3 of concrete,2380.0,401.6135872173333
252,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 420 kg per m3 of concrete,2380.0,420.11000348702004
253,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 440 kg per m3 of concrete,2380.0,438.6064197567067
254,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 460 kg per m3 of concrete,2380.0,457.10283602639345
255,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 480 kg per m3 of concrete,2380.0,475.59925229607995
256,Concrete,Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 500 kg per m3 of concrete,2380.0,494.09566856576663
257,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 100 kg per m3 of concrete,2380.0,96.34898079153334
258,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 120 kg per m3 of concrete,2380.0,109.28172458512
259,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 140 kg per m3 of concrete,2380.0,122.21446837870667
260,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 160 kg per m3 of concrete,2380.0,135.14721217229337
261,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 180 kg per m3 of concrete,2380.0,148.07995596588
262,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 200 kg per m3 of concrete,2380.0,161.01269975946667
263,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,2380.0,173.94544355305337
264,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,2380.0,186.87818734664
265,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 260 kg per m3 of concrete,2380.0,199.97003157808672
266,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 280 kg per m3 of concrete,2380.0,213.08635279997338
267,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 300 kg per m3 of concrete,2380.0,226.22715101230006
268,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 320 kg per m3 of concrete,2380.0,239.39242621506668
269,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 340 kg per m3 of concrete,2380.0,252.5821784082733
270,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 360 kg per m3 of concrete,2380.0,265.57611467795994
271,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 380 kg per m3 of concrete,2380.0,278.5700509476467
272,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 400 kg per m3 of concrete,2380.0,291.56398721733325
273,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 420 kg per m3 of concrete,2380.0,304.55792348702
274,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 440 kg per m3 of concrete,2380.0,317.5518597567067
275,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 460 kg per m3 of concrete,2380.0,330.5457960263934
276,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 480 kg per m3 of concrete,2380.0,343.53973229608
277,Concrete,Concrete - 30% pfa cement replacement - with total cementitious content of 500 kg per m3 of concrete,2380.0,356.5336685657666
278,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 100 kg per m3 of concrete,2380.0,87.17818079153332
279,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 120 kg per m3 of concrete,2380.0,98.27676458511999
280,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 140 kg per m3 of concrete,2380.0,109.37534837870666
281,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 160 kg per m3 of concrete,2380.0,120.47393217229335
282,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 180 kg per m3 of concrete,2380.0,131.57251596588
283,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 200 kg per m3 of concrete,2380.0,142.67109975946667
284,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,2380.0,153.76968355305334
285,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,2380.0,164.86826734663998
286,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 260 kg per m3 of concrete,2380.0,176.12595157808667
287,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 280 kg per m3 of concrete,2380.0,187.40811279997337
288,Concrete,Concrete - 40% pfa cement replacement - with total cementitious content of 300 kg per m3 of concrete,2380.0,198.71475101229998
